Postalcode,Borough,Neighborhood,City,Latitude,Longitude,IsDuplicate,Total Venues,1st Most Common Label,2nd Most Common Label,3rd Most Common Label,4th Most Common Label,5th Most Common Label,6th Most Common Label,7th Most Common Label,8th Most Common Label,9th Most Common Label,10th Most Common Label,Median Rent Studio,Median Rent 1 Bedroom,Median Rent 2 Bedrooms,Median Rent 3 Bedrooms,Median Rent Studio in USD,Median Rent 1 Bedroom in USD,Median Rent 2 Bedrooms in USD,Median Rent 3 Bedrooms in USD,innerouter,Proximity,Normalized Median Rent Studio in USD,Normalized Median Rent 1 Bedroom in USD,Normalized Median Rent 2 Bedrooms in USD,Normalized Median Rent 3 Bedrooms in USD,Normalized Proximity,Normalized Total Venues
H4B,Notre-Dame-de-Grâce,Notre-Dame-de-Grâce South,Montreal,45.46077172200006,-73.63145507499996,False,36.0,Dining and Lunching,Food and Beverage Retail,Retail,Landmarks and Outdoors,Arts and Entertainment,Travel and Transportation,Business and Professional Services,Office,Sports and Recreation,Bar,759.0,1087.0,1428.0,1881.0,759.0,1087.0,1428.0,1881.0,outer,8.062979736628614,0.1668587496104629,0.8530339879127133,1.815770342040592,2.2346810952181917,-0.35574633154100516,-0.09004034116189932
H5B,Complexe Desjardins,Complexe Desjardins,Montreal,45.50773384100006,-73.56411099599995,False,100.0,Dining and Lunching,Arts and Entertainment,Bar,Landmarks and Outdoors,Travel and Transportation,Retail,Business and Professional Services,Community and Government,Office,Education,831.0,1072.0,1141.0,1485.0,831.0,1072.0,1141.0,1485.0,inner,0.7814436912860799,0.9435875554283228,0.7335230249759299,0.13021709947824184,0.5935733660329353,-1.4265189806248095,1.836082902104157
H7B,Laval,Saint-François,Montreal,45.52098601382271,-73.70553651531485,True,37.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,640.0,911.0,1194.0,1291.0,640.0,911.0,1194.0,1291.0,outer,11.898244417875258,-1.1169013600051667,-0.5492279772122122,0.44148651360996505,-0.2104036528103468,0.20824133494905836,-0.059944665485867195
H9B,Dollard-des-Ormeaux,Dollard-des-Ormeaux East,Montreal,45.49042444100007,-73.79941438099996,False,54.0,Dining and Lunching,Retail,Food and Beverage Retail,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,855.0,1072.0,1286.0,1377.0,855.0,1072.0,1286.0,1377.0,outer,19.271626111420677,1.2024971573676095,0.7335230249759299,0.981803232480126,0.1459985308005927,1.2925201738560836,0.451681821006679
H1C,Rivière-des-Prairies,Rivière-des-Prairies North,Montreal,45.660298743000055,-73.53890467199994,False,3.0,Dining and Lunching,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,569.0,761.0,832.0,1023.0,569.0,761.0,832.0,1023.0,outer,16.87311624740593,-1.882842265742223,-1.7443376065800464,-1.6845423149878425,-1.3210523180165303,0.9398117968114584,-1.0831976384709596
H2C,Ahuntsic,Ahuntsic North,Montreal,45.56060242700005,-73.65887346999995,False,49.0,Dining and Lunching,Food and Beverage Retail,Retail,Bar,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,595.0,1147.0,1098.0,1866.0,595.0,1147.0,1098.0,1866.0,outer,9.992818586122242,-1.6023568636413292,1.331077839659847,-0.12232223651542039,2.172517923658144,-0.07195749298971216,0.3012034426265183
H3C,Griffintown & co,"Griffintown, Île Notre-Dame, Île Sainte-Hélène",Montreal,45.49491269000004,-73.55509539399998,False,100.0,Dining and Lunching,Travel and Transportation,Retail,Arts and Entertainment,Business and Professional Services,Bar,Landmarks and Outdoors,Food and Beverage Retail,Office,Community and Government,882.0,1111.0,1178.0,1378.0,882.0,1111.0,1178.0,1378.0,inner,1.5523376546700438,1.4937704595493069,1.0442515286115668,0.3475183885890675,0.1501427422379292,-1.3131566122735134,1.836082902104157
H4C,Saint-Henri,Saint-Henri,Montreal,45.47406567000007,-73.58977973299994,False,69.0,Dining and Lunching,Landmarks and Outdoors,Bar,Arts and Entertainment,Retail,Food and Beverage Retail,Sports and Recreation,Business and Professional Services,Community and Government,Education,766.0,1064.0,1344.0,1722.0,766.0,1064.0,1344.0,1722.0,outer,4.762097615645304,0.24237405017608818,0.6697838447429787,1.3224376856808797,1.5757514766816871,-0.8411513712179595,0.9031169561471609
H7C,Laval,Saint-Vincent-de-Paul,Montreal,45.52098601382271,-73.70553651531485,True,37.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,640.0,911.0,1194.0,1291.0,640.0,911.0,1194.0,1291.0,outer,11.898244417875258,-1.1169013600051667,-0.5492279772122122,0.44148651360996505,-0.2104036528103468,0.20824133494905836,-0.059944665485867195
H9C,L'Île-Bizard,L'Île-Bizard North,Montreal,45.50532959100008,-73.87915850299999,False,1.0,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail,Health and Medicine,855.0,913.0,1086.0,1180.0,855.0,913.0,1086.0,1180.0,outer,25.394679783360722,1.2024971573676095,-0.5332931821539744,-0.19279833028109356,-0.6704111223546989,2.1929343666800287,-1.1433889898230238
H1E,Rivière-des-Prairies,Rivière-des-Prairies South,Montreal,45.636743575000025,-73.58336097899996,False,5.0,Dining and Lunching,Retail,Food and Beverage Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,692.0,809.0,950.0,979.0,692.0,809.0,950.0,979.0,outer,14.393185396434642,-0.555930555803379,-1.3619025251823396,-0.9915273929587228,-1.5033976212593365,0.5751302089838911,-1.0230062871188952
H2E,Villeray,Villeray North,Montreal,45.55124366700005,-73.61193254399996,False,53.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Bar,Landmarks and Outdoors,Business and Professional Services,Community and Government,Education,666.0,779.0,918.0,1022.0,666.0,779.0,918.0,1022.0,outer,6.518573690125564,-0.8364159579042728,-1.6009244510559064,-1.179463643000518,-1.3251965294538668,-0.5828560709390368,0.42158614533064687
H3E,L'Île-Des-Soeurs,L'Île-Des-Soeurs,Montreal,45.46032822000007,-73.54814991299997,False,22.0,Dining and Lunching,Landmarks and Outdoors,Retail,Food and Beverage Retail,Business and Professional Services,Community and Government,Sports and Recreation,Arts and Entertainment,Bar,Education,864.0,1046.0,1148.0,1406.0,864.0,1046.0,1148.0,1406.0,outer,5.415644100109125,1.299588258094842,0.5263706892188387,0.1713281541748845,0.26618066248335137,-0.7450453166559768,-0.5113798006263491
H4E,Ville Émard,Ville Émard,Montreal,45.454875138000034,-73.59493478699994,False,25.0,Dining and Lunching,Retail,Landmarks and Outdoors,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,800.0,952.0,938.0,1394.0,800.0,952.0,938.0,1394.0,outer,6.791944928999518,0.6091626529234109,-0.2225646785183375,-1.0620034867243962,0.2164501252353133,-0.5426559752710882,-0.4210927735982527
H7E,Laval,Duvernay,Montreal,45.61410845600005,-73.68296295499994,False,7.0,Dining and Lunching,Food and Beverage Retail,Office,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,618.0,818.0,821.0,1151.0,618.0,818.0,821.0,1151.0,outer,15.421106357304597,-1.354235161782846,-1.2901959474202693,-1.7491454009397096,-0.7905932540374576,0.7262892011890466,-0.9628149357668311
H1G,Montréal-Nord,Montréal-Nord North,Montreal,45.61230339100007,-73.62097666199998,False,23.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Business and Professional Services,Arts and Entertainment,Bar,Community and Government,Education,Event,729.0,1031.0,1208.0,1334.0,729.0,1031.0,1208.0,1334.0,outer,12.621783296708934,-0.1567782528136454,0.4068597262820552,0.5237086230032504,-0.03220256100487705,0.31463999001022624,-0.48128412495031697
H2G,Petite-Patrie,Petite-Patrie North,Montreal,45.54363677200007,-73.59309451399997,False,94.0,Dining and Lunching,Food and Beverage Retail,Retail,Bar,Arts and Entertainment,Landmarks and Outdoors,Travel and Transportation,Business and Professional Services,Community and Government,Education,768.0,822.0,989.0,1022.0,768.0,822.0,989.0,1022.0,outer,4.913863964181084,0.2639498503376954,-1.258326357303794,-0.762480088220285,-1.3251965294538668,-0.818833655003758,1.655508848047964
H3G,Downtown & co,"Downtown, Concordia University",Montreal,45.499386798000046,-73.58025911599998,False,100.0,Dining and Lunching,Retail,Bar,Arts and Entertainment,Landmarks and Outdoors,Travel and Transportation,Business and Professional Services,Community and Government,Education,Food and Beverage Retail,947.0,1150.0,1259.0,1627.0,947.0,1150.0,1259.0,1627.0,outer,2.290081251504743,2.1949839648015415,1.3549800322472036,0.8232320215073614,1.1820513901347192,-1.2046691090038453,1.836082902104157
H4G,Verdun,Verdun North,Montreal,45.46455251900005,-73.56946259899996,False,75.0,Dining and Lunching,Food and Beverage Retail,Retail,Bar,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,864.0,1096.0,1108.0,1272.0,864.0,1096.0,1108.0,1272.0,outer,5.0668657715728616,1.299588258094842,0.9247405656747834,-0.0635921583773594,-0.2891436701197404,-0.7963342607007808,1.0836910102033537
H7G,Laval,Pont-Viau,Montreal,45.57867424900007,-73.68650336499996,False,16.0,Dining and Lunching,Retail,Food and Beverage Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,677.0,937.0,880.0,1179.0,677.0,937.0,880.0,1179.0,outer,12.918551203033337,-0.7177490570154331,-0.3420756414551209,-1.4026379399251498,-0.6745553337920355,0.3582806388018078,-0.6919538546825419
H9G,Dollard-des-Ormeaux,Dollard-des-Ormeaux Southwest,Montreal,45.47553841600006,-73.83697711199994,False,39.0,Dining and Lunching,Retail,Food and Beverage Retail,Landmarks and Outdoors,Travel and Transportation,Business and Professional Services,Arts and Entertainment,Bar,Community and Government,Education,762.0,927.0,1027.0,1180.0,762.0,927.0,1027.0,1180.0,outer,22.409330953030747,0.19922244985287374,-0.4217496167463099,-0.5393057912956534,-0.6704111223546989,1.7539294842505426,0.0002466858661970618
H0H,Santa Claus,Reserved0H0:Santa Claus,Montreal,45.50886700000007,-73.55424199999999,False,100.0,Dining and Lunching,Landmarks and Outdoors,Arts and Entertainment,Bar,Travel and Transportation,Retail,Business and Professional Services,Community and Government,Office,Education,831.0,1084.0,1127.0,1464.0,831.0,1084.0,1127.0,1464.0,inner,1.413167369744879e-12,0.9435875554283228,0.8291317953253566,0.04799499008495646,0.5065449258488687,-1.541432719459065,1.836082902104157
H1H,Montréal-Nord,Montréal-Nord South,Montreal,45.59000591700004,-73.63911966299997,False,19.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Landmarks and Outdoors,Office,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,618.0,818.0,821.0,1151.0,618.0,818.0,821.0,1151.0,outer,11.191748970042966,-1.354235161782846,-1.2901959474202693,-1.7491454009397096,-0.7905932540374576,0.10434896972140731,-0.6016668276544455
H2H,Plateau Mont-Royal,Plateau Mont-Royal North,Montreal,45.53715164300007,-73.57313611199999,False,100.0,Dining and Lunching,Retail,Food and Beverage Retail,Bar,Landmarks and Outdoors,Arts and Entertainment,Travel and Transportation,Business and Professional Services,Community and Government,Education,700.0,920.0,1047.0,1252.0,700.0,920.0,1047.0,1252.0,outer,3.4729298027521023,-0.4696273551569501,-0.47752139945014216,-0.4218456350195314,-0.37202789886647053,-1.030727530084628,1.836082902104157
H3H,Downtown,Downtown Center,Montreal,45.49270861300005,-73.58238565999994,False,100.0,Dining and Lunching,Retail,Arts and Entertainment,Bar,Travel and Transportation,Food and Beverage Retail,Business and Professional Services,Landmarks and Outdoors,Community and Government,Education,813.0,1113.0,1308.0,1570.0,813.0,1113.0,1308.0,1570.0,outer,2.83962775500039,0.7494053539738579,1.0601863236698046,1.11100940438386,0.9458313382065383,-1.123856576911917,1.836082902104157
H4H,Verdun,Verdun South,Montreal,45.44564135300004,-73.58092066899997,False,12.0,Landmarks and Outdoors,Dining and Lunching,Retail,Arts and Entertainment,Food and Beverage Retail,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education,800.0,952.0,938.0,1394.0,800.0,952.0,938.0,1394.0,outer,7.330050843570849,0.6091626529234109,-0.2225646785183375,-1.0620034867243962,0.2164501252353133,-0.46352581756188443,-0.8123365573866704
H7H,Laval,West Auteuil,Montreal,45.52098601382271,-73.70553651531485,True,37.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,640.0,911.0,1194.0,1291.0,640.0,911.0,1194.0,1291.0,outer,11.898244417875258,-1.1169013600051667,-0.5492279772122122,0.44148651360996505,-0.2104036528103468,0.20824133494905836,-0.059944665485867195
H9H,Pierrefonds & co,"Pierrefonds, Sainte-Geneviève",Montreal,45.46043452400005,-73.85574018599993,False,26.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Business and Professional Services,Arts and Entertainment,Bar,Community and Government,Education,Event,762.0,927.0,1027.0,1180.0,762.0,927.0,1027.0,1180.0,outer,24.177724020794162,0.19922244985287374,-0.4217496167463099,-0.5393057912956534,-0.6704111223546989,2.013977215663152,-0.3909970979222206
H1J,Anjou,Anjou North,Montreal,45.61595906000008,-73.57336117599993,False,8.0,Dining and Lunching,Retail,Travel and Transportation,Food and Beverage Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,692.0,809.0,950.0,979.0,692.0,809.0,950.0,979.0,outer,11.995738661406376,-0.555930555803379,-1.3619025251823396,-0.9915273929587228,-1.5033976212593365,0.22257816838175287,-0.9327192600907989
H2J,Plateau Mont-Royal,Plateau Mont-Royal Center 1,Montreal,45.52982136800006,-73.58290003599996,False,100.0,Dining and Lunching,Retail,Food and Beverage Retail,Bar,Arts and Entertainment,Landmarks and Outdoors,Business and Professional Services,Sports and Recreation,Community and Government,Education,878.0,1211.0,1082.0,2138.0,878.0,1211.0,1082.0,2138.0,outer,3.2306868880331256,1.4506188592260925,1.8409912815234564,-0.21629036153631795,3.2997434346136734,-1.066350108329136,1.836082902104157
H3J,Petite-Bourgogne,Petite-Bourgogne,Montreal,45.48630936700005,-73.57269771199998,False,64.0,Dining and Lunching,Food and Beverage Retail,Bar,Arts and Entertainment,Retail,Business and Professional Services,Landmarks and Outdoors,Travel and Transportation,Community and Government,Education,816.0,1042.0,1171.0,1290.0,816.0,1042.0,1171.0,1290.0,outer,2.892468237737895,0.7817690542162687,0.49450109910236306,0.30640733389242475,-0.2145478642476833,-1.1160862186623144,0.7526385777670003
H4J,Cartierville,Cartierville Center,Montreal,45.53137035100008,-73.70905649099996,False,20.0,Dining and Lunching,Food and Beverage Retail,Retail,Bar,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,640.0,911.0,1194.0,1291.0,640.0,911.0,1194.0,1291.0,outer,12.351559196864887,-1.1169013600051667,-0.5492279772122122,0.44148651360996505,-0.2104036528103468,0.27490269097956754,-0.5715711519784133
H7J,Laval,Northeast Auteuil,Montreal,45.52098601382271,-73.70553651531485,True,37.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,640.0,911.0,1194.0,1291.0,640.0,911.0,1194.0,1291.0,outer,11.898244417875258,-1.1169013600051667,-0.5492279772122122,0.44148651360996505,-0.2104036528103468,0.20824133494905836,-0.059944665485867195
H9J,Kirkland,Kirkland East,Montreal,45.44958434800003,-73.86616292299993,False,28.0,Dining and Lunching,Travel and Transportation,Retail,Business and Professional Services,Food and Beverage Retail,Landmarks and Outdoors,Office,Arts and Entertainment,Bar,Community and Government,779.0,1023.0,1207.0,1341.0,779.0,1023.0,1207.0,1341.0,outer,25.2624213079173,0.3826167512265351,0.343120546049104,0.5178356151894443,-0.0031930809435215084,2.173485344216572,-0.3308057465701563
H1K,Anjou,Anjou South,Montreal,45.60893648900003,-73.54535963399996,False,14.0,Dining and Lunching,Retail,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Food and Beverage Retail,Bar,Business and Professional Services,Community and Government,Education,692.0,809.0,950.0,979.0,692.0,809.0,950.0,979.0,outer,11.143593668671619,-0.555930555803379,-1.3619025251823396,-0.9915273929587228,-1.5033976212593365,0.097267582044997,-0.7521452060346061
H2K,Centre-Sud & co,"Centre-Sud, Sainte-Marie",Montreal,45.530641048000064,-73.55409481299995,False,54.0,Dining and Lunching,Retail,Food and Beverage Retail,Landmarks and Outdoors,Arts and Entertainment,Travel and Transportation,Bar,Business and Professional Services,Community and Government,Education,630.0,788.0,915.0,1040.0,630.0,788.0,915.0,1040.0,outer,2.4200371456835748,-1.2247803608132029,-1.5292178732938362,-1.1970826664419363,-1.2506007235818097,-1.185558688316863,0.451681821006679
H3K,Pointe-Saint-Charles,Pointe-Saint-Charles,Montreal,45.48115337600007,-73.55818648199994,False,42.0,Dining and Lunching,Bar,Retail,Business and Professional Services,Travel and Transportation,Food and Beverage Retail,Landmarks and Outdoors,Arts and Entertainment,Community and Government,Education,738.0,1071.0,1128.0,1150.0,738.0,1071.0,1128.0,1150.0,outer,3.095525309655875,-0.05968715208641291,0.725555627446811,0.05386799789876255,-0.7947374654747941,-1.086226041158711,0.09053371289429345
H4K,Cartierville,Cartierville South,Montreal,45.51904753700006,-73.73523850499998,False,5.0,Business and Professional Services,Landmarks and Outdoors,Dining and Lunching,Arts and Entertainment,Bar,Community and Government,Education,Event,Financial Service,Food and Beverage Retail,712.0,1093.0,1486.0,1512.0,712.0,1093.0,1486.0,1512.0,outer,14.188027118981163,-0.3401725541873068,0.9008383730874266,2.1564047952413454,0.705467074841021,0.5449610426345953,-1.0230062871188952
H7K,Laval,South Auteuil,Montreal,45.52098601382271,-73.70553651531485,True,37.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,640.0,911.0,1194.0,1291.0,640.0,911.0,1194.0,1291.0,outer,11.898244417875258,-1.1169013600051667,-0.5492279772122122,0.44148651360996505,-0.2104036528103468,0.20824133494905836,-0.059944665485867195
H9K,Pierrefonds & co,"Pierrefonds, Kirkland",Montreal,45.46170834700007,-73.93112294699995,False,3.0,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,779.0,1023.0,1207.0,1341.0,779.0,1023.0,1207.0,1341.0,outer,29.926473579819657,0.3826167512265351,0.343120546049104,0.5178356151894443,-0.0031930809435215084,2.859348818015429,-1.0831976384709596
H1L,Mercier,Mercier North,Montreal,45.59976073100006,-73.51925168599996,False,16.0,Dining and Lunching,Food and Beverage Retail,Retail,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,838.0,1101.0,1147.0,1625.0,838.0,1101.0,1147.0,1625.0,outer,10.465102746906833,1.0191028559939481,0.9645775533203779,0.16545514636107841,1.173762967260046,-0.002506630037917375,-0.6919538546825419
H2L,Centre-Sud & co,"Centre-Sud, Le Village",Montreal,45.520175925000046,-73.56087844199999,False,100.0,Dining and Lunching,Bar,Arts and Entertainment,Food and Beverage Retail,Landmarks and Outdoors,Retail,Travel and Transportation,Business and Professional Services,Education,Community and Government,834.0,1100.0,1125.0,1498.0,834.0,1100.0,1125.0,1498.0,inner,1.359664172475839,0.9759512556707337,0.956610155791259,0.03624897445734426,0.6474481147183099,-1.3414898504326862,1.836082902104157
H3L,Ahuntsic,Ahuntsic West,Montreal,45.54653326900007,-73.67219055899994,False,21.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Bar,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,595.0,1147.0,1098.0,1866.0,595.0,1147.0,1098.0,1866.0,outer,10.120521766668189,-1.6023568636413292,1.331077839659847,-0.12232223651542039,2.172517923658144,-0.05317834088799677,-0.5414754763023812
H4L,Saint-Laurent,Saint-Laurent Center 1,Montreal,45.51836974300005,-73.68392863199995,False,46.0,Dining and Lunching,Retail,Food and Beverage Retail,Bar,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,877.0,1006.0,1478.0,1568.0,877.0,1006.0,1478.0,1568.0,outer,10.188499934455685,1.439830959145289,0.20767478805408285,2.109420732730897,0.9375429153318653,-0.0431819387074104,0.21091641559842195
H7L,Laval,Sainte-Rose,Montreal,45.60131339200007,-73.76940871499994,False,1.0,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail,677.0,937.0,880.0,1179.0,677.0,937.0,880.0,1179.0,outer,19.69340274071011,-0.7177490570154331,-0.3420756414551209,-1.4026379399251498,-0.6745553337920355,1.354543746334964,-1.1433889898230238
H0M,Akwesasne,Region1A0 & 0A1:Akwesasne,Montreal,45.65832800000004,-73.51384399999995,False,23.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Bar,Community and Government,Education,Event,569.0,761.0,832.0,1023.0,569.0,761.0,832.0,1023.0,outer,16.90810837138766,-1.882842265742223,-1.7443376065800464,-1.6845423149878425,-1.3210523180165303,0.9449574980837812,-0.48128412495031697
H1M,Mercier,Mercier West,Montreal,45.589039410000055,-73.55648373899999,False,14.0,Dining and Lunching,Food and Beverage Retail,Landmarks and Outdoors,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,688.0,984.0,1182.0,1214.0,688.0,984.0,1182.0,1214.0,outer,8.91228194892525,-0.5990821561265934,0.032392042413467145,0.37101041984429184,-0.5295079334852577,-0.23085378495871,-0.7521452060346061
H2M,Ahuntsic,Ahuntsic East,Montreal,45.55453243200003,-73.63907784199995,False,14.0,Dining and Lunching,Food and Beverage Retail,Arts and Entertainment,Bar,Landmarks and Outdoors,Travel and Transportation,Business and Professional Services,Community and Government,Education,Event,643.0,788.0,940.0,1115.0,643.0,788.0,940.0,1115.0,outer,8.347143175063213,-1.0845376597627558,-1.5292178732938362,-1.0502574710967838,-0.9397848657815718,-0.31395920917415243,-0.7521452060346061
H3M,Cartierville,Cartierville North,Montreal,45.53816138800005,-73.69317525599996,False,16.0,Landmarks and Outdoors,Retail,Dining and Lunching,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,640.0,816.0,910.0,1291.0,640.0,816.0,910.0,1291.0,outer,11.332026227693047,-1.1169013600051667,-1.3061307424785071,-1.2264477055109668,-0.2104036528103468,0.12497717918776911,-0.6919538546825419
H4M,Saint-Laurent,Saint-Laurent Center 2,Montreal,45.50032867400006,-73.68764080899996,False,12.0,Retail,Dining and Lunching,Travel and Transportation,Food and Beverage Retail,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,764.0,1078.0,1312.0,1298.0,764.0,1078.0,1312.0,1298.0,outer,10.468443204419737,0.22079825001448095,0.7813274101506433,1.1345014356390846,-0.18139417274899125,-0.0020154053130831645,-0.8123365573866704
H7M,Laval,Vimont,Montreal,45.59877828800006,-73.71636812699995,False,11.0,Dining and Lunching,Travel and Transportation,Food and Beverage Retail,Retail,Sports and Recreation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,677.0,937.0,880.0,1179.0,677.0,937.0,880.0,1179.0,outer,16.12821718340825,-0.7177490570154331,-0.3420756414551209,-1.4026379399251498,-0.6745553337920355,0.8302720597161485,-0.8424322330627025
H1N,Mercier,Mercier South,Montreal,45.57680008100005,-73.53051191599997,False,8.0,Dining and Lunching,Landmarks and Outdoors,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,738.0,848.0,1047.0,1348.0,738.0,848.0,1047.0,1348.0,outer,7.774373241564024,-0.05968715208641291,-1.0511740215467025,-0.4218456350195314,0.02581639911783403,-0.39818681928133143,-0.9327192600907989
H2N,Ahuntsic,Ahuntsic South,Montreal,45.54090378500007,-73.65116565299996,False,60.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Office,Bar,Business and Professional Services,Community and Government,Education,646.0,1002.0,1022.0,1408.0,646.0,1002.0,1022.0,1408.0,outer,8.367418591235422,-1.052173959520345,0.17580519793760727,-0.5686708303646838,0.2744690853580244,-0.3109776458129603,0.6322558750628717
H3N,Parc-Extension,Parc-Extension,Montreal,45.52941702200008,-73.63164598699996,False,35.0,Dining and Lunching,Retail,Travel and Transportation,Arts and Entertainment,Food and Beverage Retail,Landmarks and Outdoors,Bar,Business and Professional Services,Community and Government,Education,663.0,919.0,910.0,951.0,663.0,919.0,910.0,951.0,outer,6.464605935362526,-0.8687796581466837,-0.485488796979261,-1.2264477055109668,-1.6194355415047588,-0.590792198065632,-0.12013601683793144
H4N,Saint-Laurent,Saint-Laurent North,Montreal,45.52556651700007,-73.66496409399997,False,17.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,667.0,1044.0,1009.0,951.0,667.0,1044.0,1009.0,951.0,outer,8.848039955678024,-0.8256280578234693,0.5104358941606009,-0.6450199319441631,-1.6194355415047588,-0.24030077098794964,-0.6618581790065098
H7N,Laval,Laval-des-Rapides,Montreal,45.56054541200007,-73.70564408099995,False,16.0,Retail,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Food and Beverage Retail,Bar,Business and Professional Services,Community and Government,Education,677.0,937.0,880.0,1179.0,677.0,937.0,880.0,1179.0,outer,13.147024688521578,-0.7177490570154331,-0.3420756414551209,-1.4026379399251498,-0.6745553337920355,0.39187837941288867,-0.6919538546825419
H8N,LaSalle,LaSalle North,Montreal,45.43983932700007,-73.62172867199996,False,45.0,Dining and Lunching,Retail,Food and Beverage Retail,Travel and Transportation,Bar,Landmarks and Outdoors,Office,Arts and Entertainment,Business and Professional Services,Community and Government,658.0,879.0,1126.0,1403.0,658.0,879.0,1126.0,1403.0,outer,9.311475683654491,-0.9227191585507017,-0.8041846981440168,0.04212198227115036,0.25374802817134184,-0.17215109775480705,0.18082073992238984
H1P,Saint-Léonard,Saint-Léonard North,Montreal,45.59828459700003,-73.59440641099997,False,8.0,Dining and Lunching,Retail,Bar,Food and Beverage Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,Financial Service,729.0,1031.0,1208.0,1334.0,729.0,1031.0,1208.0,1334.0,outer,10.421209733415818,-0.1567782528136454,0.4068597262820552,0.5237086230032504,-0.03220256100487705,-0.008961234950861199,-0.9327192600907989
H2P,Villeray,Villeray West,Montreal,45.54215812700005,-73.63480947199997,False,72.0,Dining and Lunching,Retail,Food and Beverage Retail,Bar,Travel and Transportation,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,663.0,856.0,983.0,951.0,663.0,856.0,983.0,951.0,outer,7.301142455524494,-0.8687796581466837,-0.9874348413137514,-0.7977181351031216,-1.6194355415047588,-0.46777688643751497,0.9934039831752572
H3P,Mount Royal,Mount Royal North,Montreal,45.521838984000055,-73.63896601199997,False,36.0,Dining and Lunching,Retail,Food and Beverage Retail,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,656.0,964.0,941.0,951.0,656.0,964.0,941.0,951.0,outer,6.77523722311559,-0.944294958712309,-0.12695590816891075,-1.0443844632829777,-1.6194355415047588,-0.5451128956760748,-0.09004034116189932
